GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rest-service,com.coupon.restservice,RestServiceApplication,5,3,0,0,2,1,1,1,1,1
rest-service,com.coupon.restservice.service,CouponServiceImpl,0,78,0,4,0,17,0,9,0,7
rest-service,com.coupon.restservice.controller,CouponController,2,37,0,2,1,9,1,4,1,3
rest-service,com.coupon.restservice.client.meli.model,ItemMeli,8,15,0,0,1,3,2,3,2,3
rest-service,com.coupon.restservice.client.meli.model,InfoItemMeli,0,36,0,0,0,6,0,8,0,8
rest-service,com.coupon.restservice.client.meli,MeliProviderImpl,0,40,0,2,0,10,0,6,0,5
rest-service,com.coupon.restservice.client.meli,CircuitBreakerConfiguration,0,7,0,0,0,2,0,2,0,2
rest-service,com.coupon.restservice.model,Item,15,18,0,0,2,3,4,3,4,3
rest-service,com.coupon.restservice.model,RequestCoupon,8,15,0,0,1,3,2,3,2,3
rest-service,com.coupon.restservice.client.meli.helper,MapperItemMeli,3,13,0,0,1,2,1,1,1,1
